epoch,dice_score,loss,val_dice_score,val_loss,fold
0,0.33984184,0.6601581454277039,0.34587905,0.6541209556162357,3
1,0.3449828,0.6550171852111817,0.3524299,0.6475701108574867,3
2,0.35046193,0.6495380818843841,0.36314595,0.6368540599942207,3
3,0.36979303,0.6302069544792175,0.37922752,0.6207724548876286,3
4,0.38422802,0.6157719850540161,0.39922184,0.6007781252264977,3
5,0.4089695,0.5910304486751556,0.42291802,0.5770819894969463,3
6,0.4311903,0.5688096880912781,0.44647318,0.5535268262028694,3
7,0.45437545,0.5456244707107544,0.4682251,0.5317748971283436,3
8,0.47886676,0.5211332678794861,0.48646238,0.5135376341640949,3
9,0.49948534,0.5005146145820618,0.50204927,0.4979506991803646,3
10,0.5137544,0.48624554872512815,0.5119131,0.4880869425833225,3
11,0.525,0.4750000536441803,0.52468604,0.4753139317035675,3
12,0.53894436,0.4610555827617645,0.5377903,0.4622097536921501,3
13,0.5238448,0.4761552572250366,0.54709023,0.45290976390242577,3
14,0.5518006,0.4481994092464447,0.5526033,0.4473966434597969,3
15,0.56520975,0.4347902417182922,0.5607696,0.4392303414642811,3
16,0.5846168,0.4153832197189331,0.57002497,0.4299750067293644,3
17,0.6150656,0.3849343955516815,0.5687327,0.4312674179673195,3
18,0.62381005,0.3761898994445801,0.57946765,0.42053232714533806,3
19,0.5990315,0.40096849799156187,0.5913273,0.4086727015674114,3
20,0.6191567,0.38084331154823303,0.6072769,0.39272309839725494,3
21,0.58324486,0.4167551100254059,0.58681405,0.4131860211491585,3
22,0.59760004,0.4023999810218811,0.61999243,0.3800075016915798,3
23,0.7003966,0.29960344433784486,0.6309452,0.3690548203885555,3
24,0.6457568,0.3542432487010956,0.626855,0.3731449879705906,3
25,0.6436089,0.35639106035232543,0.6203469,0.37965309619903564,3
26,0.64791363,0.35208638906478884,0.62991124,0.3700888082385063,3
27,0.66233957,0.33766038417816163,0.63505757,0.3649424724280834,3
28,0.6300101,0.3699898302555084,0.6442828,0.35571715235710144,3
29,0.6420268,0.35797318816185,0.63072747,0.36927254125475883,3
30,0.6974777,0.3025223433971405,0.6525618,0.34743814915418625,3
31,0.69573987,0.3042601704597473,0.6541506,0.3458494022488594,3
32,0.66566753,0.33433247804641725,0.66478556,0.33521436899900436,3
33,0.6514037,0.34859625101089475,0.6683666,0.33163339272141457,3
34,0.69074863,0.3092513680458069,0.6702434,0.32975662127137184,3
35,0.67747176,0.3225282490253448,0.6650718,0.3349281884729862,3
36,0.5804205,0.4195794701576233,0.6720532,0.3279467858374119,3
