epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.060029594178023914,0.23795618,1.8356135487556458,2.3356137
1,0.008038610100972137,0.10279689,0.3142594173550606,0.7902084
2,0.0025234804964865735,0.054409645,0.5269899070262909,1.0261679
3,0.002124972329885863,0.049654063,0.3471616618335247,0.8311101
4,0.002034829752119549,0.0465405,0.11985126696527004,0.48689896
5,0.006163284431001076,0.08914522,0.18129442259669304,0.59987473
6,0.0025966505516621776,0.0579298,0.051924418192356825,0.31871116
7,0.0015354176745912649,0.045520652,0.025349700823426247,0.21984875
8,0.0013110607452450924,0.040020425,0.008466899511404335,0.12190835
9,0.0018583889334756938,0.050940577,0.008811943116597831,0.12477109
10,0.001240974546830972,0.03767319,0.017705213860608637,0.18256025
11,0.0011798922922239667,0.037805006,0.013426115037873387,0.15648189
12,0.0013528619112334768,0.04054537,0.0036376574516907567,0.07182226
13,0.0019278616826555021,0.048129834,0.0031019150621887093,0.06248042
14,0.001667241002571566,0.046214834,0.0051196810527471825,0.08728729
15,0.002571040907830192,0.057257686,0.005267855507554486,0.09023224
16,0.0010670589517223347,0.03646645,0.0014018602269061375,0.040029135
17,0.0014296207564925948,0.040675104,0.0015212330217764247,0.041149694
18,0.001178443015091676,0.038788702,0.0024580491244705627,0.051494274
19,0.0007502101456446005,0.031923126,0.0050472360162530094,0.08653979
20,0.002125190327205928,0.05524328,0.0016637471853755414,0.039463516
21,0.001358260034227415,0.041078348,0.0030684785403991555,0.05991023
22,0.0006267622637310791,0.027988214,0.004072764451848343,0.081838146
23,0.0026460627012939394,0.06036325,0.0047374707319249865,0.082220525
24,0.004972220814392238,0.08411723,0.005943480180576444,0.10081208
25,0.0025247310130747363,0.05482171,0.00919469325162936,0.12566343
26,0.00210100720912177,0.05130817,0.018725313886534423,0.18662065
27,0.0014067055759797392,0.04297191,0.008737127092899755,0.121095255
28,0.001802715362453669,0.050162785,0.0016545295134164917,0.043221995
29,0.0017075994145510347,0.048281774,0.0020258744571037823,0.050797682
30,0.0022209386941754285,0.05400257,0.0016774206196714658,0.04317546
31,0.0010015642021832772,0.032121096,0.002789333319014986,0.06077155
32,0.0008474521324280752,0.032327425,0.0014069670969547587,0.042268157
33,0.0007061603761458708,0.030186614,0.0033548732099006884,0.066624925
34,0.0008296941437305684,0.03364639,0.0018326092977076769,0.04608393
35,0.0012727232539392014,0.041365623,0.008690769427630585,0.12103273
36,0.001297399002878057,0.039498106,0.0035737217131099897,0.06818854
37,0.001319181352514801,0.043761827,0.001967207936104387,0.047247667
38,0.0031137969327333205,0.06671026,0.005227839355939068,0.08622864
39,0.0016405524618355284,0.045370188,0.0016478870929859113,0.043591574
40,0.0009568887947968024,0.034295633,0.0013386783084570197,0.03965071
41,0.0006826374567146879,0.028104404,0.0017276765138376504,0.047089666
42,0.0005358357151207576,0.024972567,0.001337152241376316,0.039231926
43,0.0005051391789065212,0.023869308,0.0017443663818994537,0.045363005
44,0.0008911719789520087,0.03224915,0.001366084842629789,0.040989894
45,0.0004511623458390258,0.023274414,0.001416502773281536,0.041774116
46,0.00044596740618170076,0.025368825,0.0013863229105481878,0.04001475
47,0.0004872483239737716,0.025754098,0.0015834328260098118,0.04430731
48,0.0007432957762402486,0.029195294,0.001472358845603594,0.04084265
49,0.0012682061119181419,0.041517805,0.00309629958064761,0.06267911
50,0.0006650642189924838,0.030136863,0.005336266121958033,0.09127416
51,0.0007404495043504887,0.03030552,0.0015837839055166114,0.042130716
52,0.000781720226131831,0.03121375,0.0037365492098615505,0.069786265
53,0.0006775215929605218,0.028671108,0.0022148010502860416,0.054980177
54,0.0007798190132127595,0.031954817,0.0017725774050632026,0.050012816
55,0.0007734078018101547,0.03104651,0.0038980652461759746,0.07880017
56,0.0007843590756237973,0.03209038,0.002421436282020295,0.05480773
57,0.00045107893662829797,0.024304338,0.0016481889833812602,0.045932725
58,0.0005322970518243571,0.024156056,0.004086722416104749,0.081143685
59,0.00048707323589483435,0.02557225,0.0033789550652727485,0.07439798
