epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.8254569611128639,0.2533956,0.7076498121023178,0.18206549
1,0.4881272035486558,0.15849899,0.3853472098708153,0.124850154
2,0.3020169822608723,0.1296291,0.29773788154125214,0.07559501
3,0.2692979346303379,0.13914092,0.3624105155467987,0.10703578
4,0.27375634277568145,0.12746337,0.30636467039585114,0.11398449
5,0.2432321012020111,0.1291454,0.26243142783641815,0.109436125
6,0.2250024974346161,0.1243768,0.22418498992919922,0.099115886
7,0.18941576515927033,0.09898288,0.1983892023563385,0.07550822
8,0.2055756993153516,0.11078592,0.2279140055179596,0.08942494
9,0.17193600184777202,0.10097497,0.2564558684825897,0.09699696
10,0.17762033728992238,0.09378152,0.23376627266407013,0.089190036
11,0.1701043335830464,0.097743504,0.16785065084695816,0.06931954
12,0.15437079001875484,0.086683474,0.2487911805510521,0.0888523
13,0.1352878037620993,0.08044221,0.21271829307079315,0.08483815
14,0.14902240563841426,0.08757728,0.18722208589315414,0.07440165
15,0.22136401779511394,0.103874765,0.19604121148586273,0.079738975
16,0.16769403043915243,0.09079774,0.21855032444000244,0.09233485
17,0.14506267800050623,0.08497155,0.18900207430124283,0.0808029
18,0.1314433655318092,0.072580814,0.22544530779123306,0.085367285
19,0.13642637168659882,0.08195013,0.19559582322835922,0.07993388
20,0.15581499829011805,0.082087025,0.22998692095279694,0.09347565
21,0.14431945891941295,0.08056302,0.18562693148851395,0.07068806
22,0.13504388402490056,0.07460635,0.17457851767539978,0.075947635
23,0.11869175469174105,0.07022214,0.1881285011768341,0.067722976
24,0.13338274114272175,0.07258697,0.19082807004451752,0.06670573
25,0.1295020755599527,0.08128378,0.1942523941397667,0.07349565
26,0.14027686329448924,0.08480085,0.1888614147901535,0.07625315
27,0.14717374128453872,0.08061067,0.13003180921077728,0.07270174
28,0.1281512712731081,0.07285418,0.1572173833847046,0.058694538
29,0.12562380994067474,0.06999016,0.17763417214155197,0.06712349
30,0.12079921715399798,0.06941638,0.17389465868473053,0.07441035
31,0.12897113491507137,0.071871005,0.16727447509765625,0.08425364
32,0.10435787193915423,0.060983364,0.16257574409246445,0.082860075
33,0.12246879234033473,0.07633578,0.20244304090738297,0.07810035
34,0.12789944866124323,0.07580447,0.1475401371717453,0.085987926
35,0.1175026157323052,0.06454493,0.13204579800367355,0.07162174
36,0.1162212280666127,0.06259767,0.1725788563489914,0.072115585
37,0.13739549061831305,0.08533551,0.17093615233898163,0.08502853
38,0.11698829075869392,0.070397064,0.14604268968105316,0.07458512
39,0.12527254048515768,0.07443568,0.16154908388853073,0.08095407
40,0.11246661228292129,0.06258001,0.12855585664510727,0.07362909
41,0.10627820035990547,0.06185512,0.17754445225000381,0.08513926
42,0.1121798788799959,0.058077212,0.1434786394238472,0.08104961
43,0.0994454166468452,0.055132754,0.20645088702440262,0.07545508
44,0.1252316762419308,0.07402676,0.23391082137823105,0.08941245
45,0.11560946527649374,0.07089563,0.14959480613470078,0.0728744
46,0.10230592945042778,0.0601516,0.1796833872795105,0.07120808
47,0.10023435424355899,0.05580197,0.1272369623184204,0.05942187
48,0.09558635950088501,0.050186466,0.1617056205868721,0.06811185
49,0.0988217434462379,0.061102733,0.1464315801858902,0.05714579
50,0.10325951611294466,0.055014167,0.11972811073064804,0.045916215
51,0.09111419670722064,0.05784767,0.17570003122091293,0.060983483
52,0.14484446013675017,0.08106245,0.28121988475322723,0.08868861
53,0.1314125499304603,0.0744134,0.13841813802719116,0.072277844
54,0.10463745804393992,0.06880064,0.19300079345703125,0.085645586
55,0.11180459050571218,0.07106048,0.17263475060462952,0.06575236
56,0.11173351897912867,0.057671104,0.12445975840091705,0.056775853
57,0.09524236882434171,0.061496545,0.19171463698148727,0.062023986
58,0.10294082410195295,0.06000495,0.1866525560617447,0.07087217
59,0.13693862978149862,0.06572449,0.13839110732078552,0.06535748
60,0.10707944456268759,0.05516299,0.10434375703334808,0.05770352
61,0.11222556584021624,0.06251059,0.13620847463607788,0.06311922
62,0.09618287752656375,0.064583026,0.1325637698173523,0.070623145
63,0.09334339113796458,0.057711896,0.12080735713243484,0.062352754
64,0.10165675247416776,0.057293925,0.17516449093818665,0.06889925
65,0.0923993657617008,0.052961603,0.16983991116285324,0.06266046
66,0.09524245998438667,0.05176566,0.14981048554182053,0.063728206
67,0.1015615883995505,0.051900737,0.1615092232823372,0.05765283
68,0.08245192029896904,0.05402759,0.19256630539894104,0.07988575
69,0.09378014592563405,0.05878896,0.1494617983698845,0.06315642
70,0.12010514911483317,0.058101214,0.14098472893238068,0.06600113
71,0.10445107607280507,0.060321674,0.1779312863945961,0.057954863
72,0.0870708893327152,0.052084405,0.15857523679733276,0.065295815
73,0.0898623904761146,0.054362655,0.16198037564754486,0.056826875
74,0.08094741842325996,0.04357932,0.1254255697131157,0.04787359
75,0.09348730830585256,0.04700725,0.17169339209794998,0.07007487
76,0.09665604198680204,0.04780271,0.09871775656938553,0.050280847
77,0.09434366927427404,0.047684386,0.15137945860624313,0.061580412
78,0.09155410528182983,0.050570175,0.1655755490064621,0.055524547
79,0.08913975077516892,0.04749132,0.1910412609577179,0.058848992
80,0.08061623222687665,0.04442054,0.1757252886891365,0.064241186
81,0.08346140384674072,0.043787748,0.16501161456108093,0.060103983
82,0.07238945189644308,0.04453841,0.1580328345298767,0.05617331
83,0.07870343853445615,0.041176226,0.1940004527568817,0.061290786
84,0.08374661382506876,0.054943945,0.17734339088201523,0.07140577
85,0.08891621757956113,0.046157796,0.1773269921541214,0.04958652
86,0.09269070099381839,0.045368545,0.12224311381578445,0.05552189
87,0.1067529741455527,0.054027285,0.14036428928375244,0.05211774
88,0.08401095516541425,0.046832263,0.14673656225204468,0.053664796
89,0.07183500598458682,0.03725782,0.16645248979330063,0.05984748
90,0.08788973443648394,0.048871443,0.1320977360010147,0.050120007
91,0.08237529151579913,0.045441475,0.14910972863435745,0.04259473
92,0.08626535359550924,0.04206948,0.16037414222955704,0.062075675
93,0.08283006794312421,0.044086583,0.11643581092357635,0.048035875
94,0.0771345671485452,0.03994682,0.14805369079113007,0.055831388
95,0.07731287444339079,0.04097413,0.1586429923772812,0.06466317
96,0.10104814697714413,0.04419451,0.1428118422627449,0.055623908
97,0.07500157110831317,0.037847105,0.13561801612377167,0.05765911
98,0.07873854041099548,0.04134464,0.12884653359651566,0.060700506
99,0.07247652201091542,0.046280146,0.13804177194833755,0.06317326
100,0.07642451279303607,0.039731387,0.13536306470632553,0.047618262
101,0.06863951332428876,0.0371507,0.0852297767996788,0.03338241
102,0.07275272467557121,0.041952416,0.15015440434217453,0.045997836
103,0.07604418782626882,0.045623116,0.11057829111814499,0.048442125
104,0.07454883876968832,0.043049753,0.1629900485277176,0.055836193
105,0.07045444144922144,0.042241074,0.11161883175373077,0.04465325
106,0.07727056741714478,0.04441154,0.11954987794160843,0.05536592
107,0.06101931017987868,0.038864184,0.13148948550224304,0.050937504
108,0.059915563639472515,0.035026923,0.12209291756153107,0.057525724
109,0.08815621628480799,0.04646353,0.1982368305325508,0.07576824
110,0.0645243788466734,0.04306681,0.13147344440221786,0.055217806
111,0.07029979895142947,0.03890998,0.12935438752174377,0.054013196
112,0.06795163014355828,0.0491691,0.10519132763147354,0.053252243
113,0.06657248560120077,0.038921237,0.1668706312775612,0.06315595
114,0.059843464809305524,0.038164802,0.10464994609355927,0.052870676
115,0.05782985862563638,0.040646024,0.12120935320854187,0.045263477
116,0.058306366205215454,0.038143624,0.1118747666478157,0.057505492
117,0.06475163733257967,0.040500235,0.11637827008962631,0.048268598
118,0.06548086509985082,0.042943068,0.1529194489121437,0.054437943
119,0.054512574392206525,0.033691205,0.13198409974575043,0.05095336
120,0.06787894929156583,0.04106241,0.09134169667959213,0.044909
121,0.06544614364119138,0.035793565,0.0690511092543602,0.050913565
122,0.06425946249681361,0.03639424,0.1202792301774025,0.05137683
123,0.05379557258942548,0.039091293,0.14437328279018402,0.057115994
124,0.05809490119709688,0.036675565,0.12575117498636246,0.053333472
125,0.060311107074513155,0.043115757,0.07279156893491745,0.03901627
126,0.052610090550254375,0.037057478,0.108271025121212,0.049980275
127,0.05288563581073985,0.034185972,0.1607903093099594,0.058767848
128,0.06006153366144966,0.035773385,0.14658790081739426,0.060620993
129,0.05568166690714219,0.03409236,0.15650895982980728,0.055954374
130,0.04563315125072703,0.029884616,0.14269112050533295,0.052376095
131,0.061844547005260694,0.038428,0.12279613316059113,0.05598383
132,0.04745680619688595,0.03172973,0.0799136683344841,0.043226156
133,0.05506781269522274,0.032242868,0.1576458364725113,0.06267406
134,0.04732766396859113,0.036565103,0.07819819450378418,0.045421593
135,0.054046508143929875,0.033823904,0.07559487968683243,0.04982228
136,0.04755083778325249,0.030938625,0.12565185129642487,0.056388002
137,0.05055002254598281,0.036722336,0.11796879023313522,0.054078236
138,0.07964320743785185,0.046483308,0.1936144381761551,0.058381632
139,0.06601332040394053,0.042841066,0.09500255435705185,0.06070703
140,0.055048825109706205,0.038846314,0.10227131098508835,0.047961593
141,0.05517056058434879,0.04314024,0.12121465057134628,0.05111423
142,0.05312211373273064,0.033491664,0.12840615957975388,0.05506645
143,0.05597219747655532,0.03426245,0.10671872645616531,0.05015
144,0.05391420862253975,0.035698622,0.08796834945678711,0.050845947
145,0.04780561082503375,0.031468157,0.10318281501531601,0.047264908
146,0.0442331941688762,0.0325391,0.11620346456766129,0.059841283
147,0.03810009886236752,0.032138113,0.12345650047063828,0.057862327
148,0.04415484211024116,0.03280206,0.11984845250844955,0.053641427
149,0.05174890686483944,0.035604846,0.15466707944869995,0.05806366
150,0.04610872969907873,0.029465297,0.09660689532756805,0.05630794
151,0.04503748522085302,0.030719304,0.14198660105466843,0.05865053
152,0.05574937077129588,0.041035652,0.1735827550292015,0.072208785
153,0.046087534988627714,0.03276289,0.18174748867750168,0.0602187
154,0.044849332641152775,0.029611567,0.18970918655395508,0.054336436
155,0.05281703261768117,0.036704194,0.16573680192232132,0.06359913
156,0.050727179821799785,0.032797266,0.19226579368114471,0.061987456
157,0.05291019292438731,0.02764619,0.14764852821826935,0.072579294
158,0.04784739192794351,0.035397712,0.08547638356685638,0.042379625
159,0.04498716662911808,0.03920504,0.08917602896690369,0.04562141
160,0.06420179149683784,0.034985095,0.17699521780014038,0.06858228
161,0.1328481979229871,0.05281628,0.19943544268608093,0.053495914
162,0.06726804550956278,0.0364201,0.13505488634109497,0.047068797
163,0.04472995505613439,0.035348278,0.08491470664739609,0.04904616
164,0.050465473357368916,0.032121666,0.11653488129377365,0.06273258
165,0.049666899092057175,0.03510557,0.12875261157751083,0.061782986
166,0.04485578747356639,0.034169443,0.1350870355963707,0.058873005
167,0.04086463942247279,0.025971914,0.16412103921175003,0.06304891
168,0.03777651050511528,0.03191014,0.11206445097923279,0.056690354
169,0.04432890870991875,0.033648606,0.0753190815448761,0.04160288
170,0.04219857033561258,0.028543057,0.09147574007511139,0.043397255
171,0.040916143094792086,0.034563236,0.150335431098938,0.06408711
172,0.05077543153482325,0.03979511,0.07401444017887115,0.04929073
173,0.04749147331013399,0.03501937,0.09660305827856064,0.04830841
174,0.04402886243427501,0.028282251,0.15398778021335602,0.055644363
175,0.03231701430152444,0.027930396,0.16123373061418533,0.062218554
176,0.04676967508652631,0.033554986,0.07253782451152802,0.041380472
177,0.04535448901793536,0.0284731,0.1271556317806244,0.055683576
178,0.0391248411992017,0.03223762,0.09420038014650345,0.04390079
179,0.0434595153612249,0.030328488,0.09774264693260193,0.048852663
180,0.040927499532699585,0.029822778,0.09417325258255005,0.04385398
181,0.04233126079334932,0.029255444,0.1561889350414276,0.062706865
182,0.03339878250570858,0.024892801,0.12473540008068085,0.05810841
183,0.0334591970724218,0.02902878,0.09663810580968857,0.047479097
184,0.049179741564918965,0.033107195,0.17914673686027527,0.066946834
185,0.10879561305046082,0.042663585,0.07528740167617798,0.05064843
186,0.04522123757530661,0.033399254,0.1298733651638031,0.05732804
187,0.0468829028746661,0.03402171,0.16646883636713028,0.057315715
188,0.039752339615541345,0.033928946,0.16277704387903214,0.06731891
189,0.04558748883359572,0.043283895,0.13305778056383133,0.05128383
190,0.04213020205497742,0.03768924,0.163950614631176,0.053979047
191,0.045404956621282244,0.032549035,0.0665401890873909,0.05030648
192,0.03838431133943446,0.025425568,0.1344989612698555,0.05679009
193,0.04456731151132023,0.035599228,0.11461339145898819,0.04898008
194,0.054578877547208,0.03262386,0.11729276925325394,0.057061926
195,0.04890139313305125,0.032961555,0.08791101723909378,0.04948125
196,0.035107091945760394,0.028725322,0.09974956512451172,0.048124757
197,0.03422500806696275,0.03348597,0.10851112008094788,0.05315905
198,0.04277460715349983,0.02932177,0.09038405120372772,0.050431445
199,0.035183831172830915,0.03001549,0.11856437474489212,0.052747972
200,0.04477216916925767,0.032733478,0.12186284363269806,0.04750912
201,0.0326766897650326,0.030255595,0.09163738042116165,0.056518212
202,0.08086772876627304,0.040544648,0.173331119120121,0.0610706
203,0.05031307655222276,0.034678906,0.12461207807064056,0.05716549
204,0.042442888021469116,0.030127406,0.15618589520454407,0.0636893
205,0.039474650340921735,0.029978748,0.2073989436030388,0.07082889
206,0.03158499212825999,0.02631178,0.14148135483264923,0.058832012
207,0.03380269688718459,0.030279454,0.2095082327723503,0.07000619
208,0.037383973598480225,0.024390051,0.11836406588554382,0.054435242
209,0.03861987590789795,0.029875787,0.0804111510515213,0.048589364
210,0.03922797651851878,0.033202313,0.11330919712781906,0.054944556
211,0.031180385281057918,0.024555285,0.1282559558749199,0.057962004
212,0.03401863925597247,0.03158855,0.12005653232336044,0.05560582
213,0.03520046963411219,0.032385692,0.1186651960015297,0.05228372
214,0.029122750548755422,0.02385115,0.1837732046842575,0.06816436
215,0.030276075882070205,0.028625986,0.12064796686172485,0.057169195
216,0.03446568461025462,0.030857297,0.10802348703145981,0.052194424
217,0.03968332444920259,0.028639808,0.1188114807009697,0.052934777
